origin,distance_nm,month,bunker_price_usd,pressure_index,freight_rate_usd
South Africa,3800,12,609.09,61.9,24.21
South Africa,3800,7,618.52,83.7,27.56
South Africa,3800,11,583.12,20.7,19.47
South Africa,3800,10,714.6,49.8,20.91
USA,8500,7,595.26,75.2,51.95
South Africa,3800,2,729.57,43.2,21.29
Australia,4500,1,818.87,63.2,29.11
USA,8500,11,709.28,66.7,49.06
South Africa,3800,5,868.43,77.8,25.45
Australia,4500,3,841.14,67.6,28.88
South Africa,3800,7,620.72,56.7,24.25
Indonesia,2200,1,876.63,38.1,14.42
South Africa,3800,8,678.62,75.7,27.3
Australia,4500,4,865.68,62.9,27.19
South Africa,3800,8,633.25,53.3,24.68
Australia,4500,9,631.96,77.6,26.59
Indonesia,2200,7,794.3,52.8,16.56
Australia,4500,6,731.23,26.7,22.13
Indonesia,2200,8,802.39,52.0,16.92
Australia,4500,9,705.47,70.4,26.11
South Africa,3800,5,656.32,82.0,24.24
Indonesia,2200,8,780.22,22.1,14.69
South Africa,3800,2,879.81,60.5,22.19
South Africa,3800,2,878.87,48.0,21.67
Australia,4500,8,588.85,60.0,27.75
Australia,4500,12,768.8,77.4,30.05
USA,8500,3,812.13,23.6,37.93
USA,8500,4,781.47,34.3,40.23
South Africa,3800,6,868.82,66.4,23.85
Australia,4500,6,789.86,67.3,27.43
South Africa,3800,5,744.13,20.7,18.56
USA,8500,11,672.77,66.5,47.68
South Africa,3800,10,774.15,35.5,19.51
Indonesia,2200,7,529.3,34.4,12.89
Indonesia,2200,7,548.82,50.8,15.86
USA,8500,7,645.59,80.0,54.2
Australia,4500,1,824.38,71.9,28.88
Indonesia,2200,2,595.39,54.9,14.02
Indonesia,2200,4,596.25,71.5,14.75
Indonesia,2200,2,603.74,27.5,13.0
Australia,4500,10,547.15,36.3,22.3
South Africa,3800,3,744.43,83.1,24.89
South Africa,3800,12,706.85,83.7,27.13
Australia,4500,10,679.14,41.7,24.06
South Africa,3800,4,626.06,36.8,19.93
South Africa,3800,9,665.21,64.0,22.09
Australia,4500,6,770.92,56.4,24.69
South Africa,3800,4,682.85,31.0,18.07
South Africa,3800,8,617.45,44.1,23.62
USA,8500,6,551.18,63.5,42.86
South Africa,3800,11,778.85,38.7,21.7
Australia,4500,3,658.25,75.5,25.99
Indonesia,2200,12,610.72,79.8,17.5
South Africa,3800,4,596.42,53.8,22.53
South Africa,3800,10,566.46,54.9,20.76
Indonesia,2200,10,737.96,23.7,12.73
Indonesia,2200,2,782.26,33.0,13.23
Indonesia,2200,6,666.29,51.5,12.51
South Africa,3800,12,870.17,38.6,22.58
Indonesia,2200,7,668.33,29.0,13.99
Indonesia,2200,2,861.23,24.5,14.34
Australia,4500,10,681.93,69.2,25.73
Indonesia,2200,6,842.11,37.4,14.26
Indonesia,2200,9,829.23,25.8,12.75
Indonesia,2200,4,667.15,47.9,14.21
Australia,4500,10,782.59,56.4,27.28
Australia,4500,3,644.82,68.5,26.14
Australia,4500,6,662.04,71.5,26.69
Australia,4500,8,810.77,36.0,27.02
Australia,4500,10,535.64,37.0,22.45
Indonesia,2200,11,831.19,40.1,13.98
South Africa,3800,4,807.62,72.2,23.2
South Africa,3800,10,809.16,56.5,23.01
Australia,4500,10,657.69,39.8,23.71
Australia,4500,7,656.42,39.7,26.96
USA,8500,5,608.03,34.8,38.07
Australia,4500,9,603.55,66.1,25.57
South Africa,3800,3,773.93,35.8,20.4
South Africa,3800,1,839.26,77.8,27.68
Australia,4500,1,828.8,50.8,27.57
Australia,4500,11,856.04,42.4,26.63
USA,8500,2,839.87,48.7,43.0
Australia,4500,10,560.77,57.1,24.07
USA,8500,5,676.2,68.6,46.18
USA,8500,5,623.46,56.3,42.04
Australia,4500,9,583.21,31.5,21.38
USA,8500,9,623.26,38.2,38.82
Australia,4500,9,715.85,56.4,24.95
South Africa,3800,5,837.27,41.3,20.44
South Africa,3800,8,576.49,21.0,20.54
Australia,4500,10,539.71,43.1,22.89
Australia,4500,4,834.91,81.0,26.49
Indonesia,2200,1,718.2,73.7,16.33
Australia,4500,1,611.68,84.9,28.63
Australia,4500,1,709.65,23.7,23.04
South Africa,3800,11,803.82,73.2,25.81
USA,8500,8,640.13,40.6,44.5
Australia,4500,6,856.87,58.8,26.38
Indonesia,2200,12,707.32,83.4,17.15
Australia,4500,12,866.39,38.8,26.46
Indonesia,2200,5,636.35,80.8,14.93
Australia,4500,11,577.38,82.9,28.11
USA,8500,9,778.91,68.4,45.52
Indonesia,2200,7,681.59,58.9,16.7
Australia,4500,10,675.49,45.1,24.18
Australia,4500,11,784.77,84.5,32.17
South Africa,3800,7,545.89,79.1,24.97
Australia,4500,2,630.3,29.9,21.87
Australia,4500,9,549.85,60.3,24.97
South Africa,3800,2,585.03,51.6,20.41
Indonesia,2200,5,796.2,33.4,13.03
USA,8500,11,857.2,26.9,41.5
Indonesia,2200,3,703.59,49.9,13.94
Indonesia,2200,10,561.55,72.1,13.37
South Africa,3800,9,602.7,33.0,19.1
Australia,4500,6,603.15,72.1,25.81
Indonesia,2200,5,545.09,23.8,12.04
Australia,4500,4,656.57,79.2,27.6
South Africa,3800,12,831.77,31.2,23.0
Australia,4500,9,771.31,61.5,26.53
Australia,4500,7,673.76,28.4,24.79
Australia,4500,5,657.78,69.2,26.56
Australia,4500,9,832.17,63.7,26.87
Indonesia,2200,11,870.41,71.4,16.93
Australia,4500,11,680.84,20.5,22.31
South Africa,3800,5,625.41,44.4,20.94
South Africa,3800,6,663.9,82.0,23.14
Australia,4500,1,826.15,46.9,27.46
Australia,4500,10,736.61,23.9,22.45
South Africa,3800,9,647.29,28.6,17.4
Indonesia,2200,6,713.18,80.8,16.24
Australia,4500,7,534.5,72.3,29.3
Australia,4500,4,808.79,42.7,23.68
Indonesia,2200,9,684.03,65.9,15.31
Indonesia,2200,1,533.97,32.1,13.7
Australia,4500,3,820.92,26.6,22.89
Indonesia,2200,5,610.17,72.4,14.58
South Africa,3800,5,533.11,78.7,22.46
Australia,4500,4,602.14,68.1,26.12
Indonesia,2200,7,697.6,22.6,13.73
USA,8500,1,521.05,20.6,36.92
South Africa,3800,12,830.83,79.6,27.41
USA,8500,5,830.67,37.3,41.49
Australia,4500,2,855.75,44.9,26.5
Indonesia,2200,1,806.3,28.8,14.87
Australia,4500,3,694.17,51.9,24.36
Australia,4500,1,683.84,56.1,26.25
Australia,4500,12,677.17,61.2,25.92
South Africa,3800,3,659.72,35.7,19.63
Australia,4500,7,744.34,24.8,25.39
South Africa,3800,1,540.98,79.9,24.99
Australia,4500,4,675.8,51.5,24.98
South Africa,3800,8,732.45,54.1,24.82
Indonesia,2200,1,565.76,43.2,14.35
South Africa,3800,2,755.52,37.9,19.95
South Africa,3800,9,608.11,77.3,22.59
South Africa,3800,5,850.58,46.5,21.77
USA,8500,4,637.68,20.7,34.99
Indonesia,2200,7,846.69,28.0,15.58
South Africa,3800,1,545.37,38.1,20.79
Australia,4500,11,790.84,79.3,31.38
Indonesia,2200,6,785.87,76.3,17.73
South Africa,3800,7,785.05,70.3,26.76
South Africa,3800,2,856.09,66.8,25.16
Indonesia,2200,6,702.04,25.0,13.13
Australia,4500,5,840.48,37.6,23.02
Indonesia,2200,11,634.64,67.5,16.76
Australia,4500,2,746.52,65.5,25.79
Indonesia,2200,11,744.71,28.6,13.3
USA,8500,11,839.26,44.6,46.99
Indonesia,2200,3,556.34,82.5,15.17
Australia,4500,1,873.32,28.8,26.24
Australia,4500,4,602.12,79.9,25.74
South Africa,3800,10,849.23,27.3,20.66
Indonesia,2200,1,583.51,72.8,15.56
Indonesia,2200,8,615.43,67.7,17.02
South Africa,3800,7,706.62,27.3,21.34
Australia,4500,10,859.68,78.7,27.77
Indonesia,2200,8,827.53,70.8,18.34
South Africa,3800,12,628.82,78.2,25.35
USA,8500,9,716.7,57.0,44.28
Australia,4500,7,536.58,55.4,25.83
Australia,4500,12,571.42,65.2,27.39
USA,8500,7,735.96,65.2,51.59
Indonesia,2200,11,692.84,54.8,15.14
South Africa,3800,11,615.5,78.8,24.67
Australia,4500,1,538.18,22.9,21.69
Australia,4500,6,814.12,46.6,25.84
Australia,4500,6,548.68,23.2,19.15
Indonesia,2200,10,867.01,61.7,14.14
Australia,4500,10,835.0,39.6,24.2
South Africa,3800,6,538.16,26.8,17.9
Indonesia,2200,5,594.82,52.8,12.71
USA,8500,1,642.77,82.5,51.64
South Africa,3800,1,697.4,30.4,19.37
South Africa,3800,8,746.95,39.0,23.12
Australia,4500,1,534.61,79.4,28.05
Indonesia,2200,2,574.52,48.7,14.09
Indonesia,2200,11,650.53,24.3,12.76
USA,8500,6,603.72,59.5,44.01
South Africa,3800,3,589.76,33.9,18.54
South Africa,3800,9,587.82,23.7,18.47
Australia,4500,5,604.26,23.2,21.34
South Africa,3800,4,662.66,65.1,21.59
South Africa,3800,11,616.4,49.6,23.52
USA,8500,5,752.47,20.9,37.05
Australia,4500,5,580.64,69.4,25.77
Indonesia,2200,1,755.72,45.4,14.89
Australia,4500,8,654.35,52.1,26.79
USA,8500,2,706.9,39.4,40.47
South Africa,3800,9,614.69,30.6,18.02
Indonesia,2200,3,675.15,31.4,12.3
USA,8500,7,728.72,60.2,51.17
Australia,4500,7,753.95,21.6,24.32
